"","ID","Collection","State","County","Location","Lat","Long","elevationM","estElevation","Uncertainty","Month","Day","Year","Sex","FWL","HWL","BodyLength","Thorax","ThoraxC","FileNaNme","mean_Standard","mean_Sample","max_Sample","min_Sample","white_balance","min_Standard","Corr.Val","lon","lat","NewLocation","doy","region","June","July","June15July15","doy162to202","Tpupal","J","JJTave","time.per","seas","siteID","YrSite","region.lab","syear.int","syear.slope","fyear.int","fyear.slope"
"16","4446","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"13",1980,"M",22.75,18.05,"18.4",1.68,"2.73","IMG_4446",75.089885,166.620126,255,30,247,40,0.38830857,-106.3184592,41.3601385,"Libby_Creek",194,1,NA,12.2222222222222,NA,12.8174603174603,12.0634920634921,194,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"17","4448","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"21",1980,"M",22.64,20.42,"19.28",0.88,"1.43","IMG_4448",81.924556,185.535715,252,48,252,43,0.318010933,-106.3184592,41.3601385,"Libby_Creek",202,1,NA,12.2222222222222,NA,12.8174603174603,12.4444444444444,202,NA,"pre 1980","late",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"18","4450","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"16",1980,"M",21.5,18.74,"18.15",0.96,"1.56","IMG_4450",165.443009,230.1954,255,69,255,112,0.173458741,-106.3184592,41.3601385,"Libby_Creek",197,1,NA,12.2222222222222,NA,12.8174603174603,12.3611111111111,197,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"21","4460","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"16",1980,"M",24.68,19.22,"18.04",1.28,"2.08","IMG_4460",65.886423,159.959507,226,30,239,32,0.38183813,-106.3184592,41.3601385,"Libby_Creek",197,1,NA,12.2222222222222,NA,12.8174603174603,12.3611111111111,197,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"22","4462","CalAc","Wyoming","Albany","LewisLake",41.3601385,-106.3184592,"NaN",3642.05,6,7,"17",1980,"M",22.32,17.72,"17.3",1.68,"2.73","IMG_4462",90.661209,171.650743,251,27,252,30,0.36193359,-106.3184592,41.3601385,"Libby_Creek",198,1,NA,12.2222222222222,NA,12.8174603174603,12.550505050505,198,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"24","4472","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"16",1980,"M",21.52,17.79,"20.09",1.12,"1.82","IMG_4472",94.863899,179.222535,250,30,248,30,0.315492959,-106.3184592,41.3601385,"Libby_Creek",197,1,NA,12.2222222222222,NA,12.8174603174603,12.3611111111111,197,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"25","4474","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"13",1980,"M",21.7,18.05,"17.08",1.6,"2.6","IMG_4474",67.843095,185.345588,251,35,248,12,0.265484797,-106.3184592,41.3601385,"Libby_Creek",194,1,NA,12.2222222222222,NA,12.8174603174603,12.0634920634921,194,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"26","4478","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"16",1980,"M",20.4,17.97,"16.84",1.68,"2.73","IMG_4478",86.729922,170.870817,235,37,242,42,0.355645915,-106.3184592,41.3601385,"Libby_Creek",197,1,NA,12.2222222222222,NA,12.8174603174603,12.3611111111111,197,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"27","4484","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"21",1980,"M",21.53,18.24,"16.78",1.28,"2.08","IMG_4484",98.97175,145.984822,255,19,248,40,0.490457587,-106.3184592,41.3601385,"Libby_Creek",202,1,NA,12.2222222222222,NA,12.8174603174603,12.4444444444444,202,NA,"pre 1980","late",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"28","4486","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"16",1980,"M",21.87,17.87,"16.89",1.36,"2.21","IMG_4486",74.824401,144.249169,228,46,234,35,0.451009201,-106.3184592,41.3601385,"Libby_Creek",197,1,NA,12.2222222222222,NA,12.8174603174603,12.3611111111111,197,NA,"pre 1980","early",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"29","4488","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"21",1980,"M",21.66,16.62,"16.89",1.04,"1.69","IMG_4488",125.588495,202.130154,253,52,255,57,0.267019424,-106.3184592,41.3601385,"Libby_Creek",202,1,NA,12.2222222222222,NA,12.8174603174603,12.4444444444444,202,NA,"pre 1980","late",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"30","4490","CalAc","Wyoming","Summit","MedicineBow",41.3601385,-106.3184592,"NaN",3642.05,6,7,"21",1980,"M",21.04,17.28,"15.96",1.12,"1.82","IMG_4490",91.968548,177.053646,235,46,251,12,0.309398971,-106.3184592,41.3601385,"Libby_Creek",202,1,NA,12.2222222222222,NA,12.8174603174603,12.4444444444444,202,NA,"pre 1980","late",1,"19801","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"32","4837","csu","Alberta",NA,"HWY40nearKanaskisVillage,",51.0196599,-115.0628141,NA,1488.66,8,8,"22",1995,"M",20.91,19.16,NA,NA,NA,"IMG_4837",38.499787,182.978306,251,34,245,0,0.253149771,-115.0628141,51.0196599,"HWY40nearKanaskisVillage,",233,3,12,13,9.53333333333333,10.4024390243902,9.2,233,12.5,"post 1980","late",3,"19953","Canadian RM",NA,NA,NA,NA
"33","4878","csu","Alberta",NA,"PlateauMntRd532",50.215423,-114.422613,NA,1714.17,2,7,"22",2003,"M",23.27,19.51,NA,NA,NA,"IMG_4878",96.266497,180.911481,249,40,244,52,0.328586036,-114.422613,50.215423,"PlateauMntRd532",202,3,9.5,12.8,9.4,12.1634146341463,12.8333333333333,202,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"35","4890","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,7,7,"21",2003,"M",22.03,19.82,NA,NA,NA,"IMG_4890",83.624011,181.021283,255,29,248,37,0.317434678,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"36","4892","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,7,7,"21",2003,"M",22.88,19.55,NA,NA,NA,"IMG_4892",75.021233,177.072277,243,44,248,30,0.325356528,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"37","4896","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,8,7,"21",2003,"M",21.13,18.21,NA,NA,NA,"IMG_4896",82.615128,154.330105,242,18,254,41,0.467933779,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"38","4898","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,8,7,"21",2003,"M",22.07,19.36,NA,NA,NA,"IMG_4898",66.08566,177.438852,247,34,245,26,0.308498393,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"39","4902","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,8,7,"21",2003,"M",22.06,19.53,NA,NA,NA,"IMG_4902",73.308371,175.760893,255,27,252,35,0.35133229,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"40","4904","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,8,7,"21",2003,"M",22.09,19.18,NA,NA,NA,"IMG_4904",69.102192,175.43004,255,37,251,6,0.308448816,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"41","4906","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,8,7,"21",2003,"M",21.7,18.42,NA,NA,NA,"IMG_4906",72.718305,175.785733,251,34,247,40,0.344030275,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"42","4908","csu","Alberta",NA,"PlateauMnt",50.215423,-114.422613,NA,1714.17,8,7,"21",2003,"M",21.47,18.96,NA,NA,NA,"IMG_4908",68.09143,170.128876,237,33,247,45,0.380550119,-114.422613,50.215423,"PlateauMntRd532",201,3,9.5,12.8,9.4,12.1634146341463,12.5,201,11.15,"post 1980","late",4,"20034","Canadian RM",NA,NA,NA,NA
"43","4884","csu","Colorado","Park","HallValley",39.4840333,-105.8041211,"12000",3030.62,6,7,"13",2003,"M",22.28,18.65,NA,NA,NA,"IMG_4884",60.56222,177.640171,247,29,251,0,0.292270235,-105.8041211,39.4840333,"HallValley",193,1,8.33333333333333,11.6666666666667,6.87962962962963,11.3482384823848,10.3174603174603,193,10,"post 1980","early",5,"20035","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"44","4894","csu","Colorado","Park","HallValley",39.4840333,-105.8041211,"12000",3030.62,6,7,"13",2003,"M",20.53,18.06,NA,NA,NA,"IMG_4894",88.395322,196.353197,251,53,254,59,0.295624631,-105.8041211,39.4840333,"HallValley",193,1,8.33333333333333,11.6666666666667,6.87962962962963,11.3482384823848,10.3174603174603,193,10,"post 1980","early",5,"20035","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
"45","4876","csu","Colorado","Ouray","RedMntPass",37.8998322,-107.7244964,"3660",3686.1,6,7,"5",2002,"M",21.59,18.96,NA,NA,NA,"IMG_4876",73.233825,165.979435,230,27,238,54,0.391416114,-107.7244964,37.8998322,"RedMntPass",185,1,13.3333333333333,14.4444444444444,10.5555555555556,12.6111111111111,10.9523809523809,185,13.8888888888889,"post 1980","early",6,"20026","Southern RM",-62.85080363866,0.0426544224356919,-40.2894803749491,0.0213834828233669
